"SP","Y","mean_LA"
"Bulbostylis barbata",2001,-19.7611881428571
"Bulbostylis barbata",2002,-22.3839291111111
"Bulbostylis barbata",2003,-20.8535483333333
"Bulbostylis barbata",2004,-21.489351
"Bulbostylis barbata",2005,NA
"Bulbostylis barbata",2006,-20.4069108
"Bulbostylis barbata",2007,-19.9371383333333
"Bulbostylis barbata",2008,-22.9162426666667
"Bulbostylis barbata",2009,-22.910258
"Bulbostylis barbata",2010,-22.149996875
"Bulbostylis barbata",2011,-20.7212635714286
"Bulbostylis barbata",2012,-20.3103143333333
"Bulbostylis barbata",2014,-19.67465275
"Bulbostylis barbata",2015,-19.4034205
"Bulbostylis barbata",2016,-17.147236375
"Bulbostylis barbata",2017,-17.062782
"Callitris endlicheri",1973,-34.22256
"Callitris endlicheri",1974,-32.3
"Callitris endlicheri",1975,-32.8
"Callitris endlicheri",1976,-36.54847
