"species","stateProvince","decimalLatitude","decimalLongitude"
"Sesuvium portulacastrum","Queensland",-25.097778,152.555
"Gahnia sieberiana","Queensland",-15.823472,145.29277
"Banksia integrifolia","Queensland",-26.925,152.941667
"Pterocaulon sphacelatum","Queensland",-22.99012,145.242813
"Cyanthillium cinereum","Queensland",-26.056736,153.09272
"Livistona rigida","Queensland",-18.723504,138.476198
"Harpullia ramiflora","Queensland",-12.840161,143.342783
"Dampiera purpurea","Queensland",-28.290071,152.709411
"Banksia serrata","Queensland",-26.056736,153.09272
"Adiantum hispidulum","Queensland",-24.9725,152.182778
"Melaleuca uncinata","Queensland",-25.090081,152.259392
"Eremophila mitchellii","Queensland",-18.923469,144.492799
"Petalostigma triloculare","Queensland",-26.79007,153.142724
"Aristida holathera","Queensland",-17.99015,141.89282
"Eucalyptus thozetiana","Queensland",-24.640082,149.759427
"Hymenophyllum baileyanum","Queensland",-16.440137,145.259439
"Gompholobium pinnatum","Queensland",-22.923422,150.709405
"Ryparosa kurrangii","Queensland",-16.140137,145.426106
"Helicia lamingtoniana","Queensland",-17.498889,145.473056
"Oceaniopteris whelanii","Queensland",-16.440137,145.259439
"Solanum rixosum","Queensland",-27.25674,152.676069
"Disterigma terniflorum","Queensland",-16.458333,145.208333
"Schizaea dichotoma","Queensland",-16.106804,145.459439
"Eucalyptus microneura","Queensland",-18.290141,143.809468
"Abrodictyum brassii","Queensland",-16.440137,145.259439
"Melaleuca nervosa","Queensland",-14.340149,144.342776
"Alpinia caerulea","Queensland",-14.590144,144.592774
"Lindsaea media","Queensland",-18.423458,146.242772
"Alloxylon wickhamii","Queensland",-17.173465,145.592771
"Hedycarya angustifolia","Queensland",-27.290077,152.192744
"Acacia elachantha","Queensland",-20.425,145.558333
"Waltheria indica","Queensland",-17.890154,141.226158
"Eriostemon banksii","Queensland",-15.090139,145.259436
"Psychotria dallachiana","Queensland",-18.423458,146.259438
"Piper fungiforme","Queensland",-13.673489,143.342786
"Dioscorea transversa","Queensland",-18.423458,146.259438
"Ficus opposita","Queensland",-15.075,145.125
"Ophiorrhiza australiana","Queensland",-17.256798,145.842771
"Crispiloba disperma","Queensland",-15.790138,145.29277
"Sloanea macbrydei","Queensland",-13.673489,143.342786
"Styphelia ruscifolia","Queensland",-10.708333,142.541667
"Parablechnum articulatum","Queensland",-16.440137,145.259439
"Hydrocotyle sibthorpioides","Queensland",-28.423415,151.09277
"Alloteropsis semialata","Queensland",-26.056736,153.09272
"Harpullia rhyticarpa","Queensland",-16.106804,145.459439
"Pimelea decora","Queensland",-20.840134,144.426146
"Pemphis acidula","Queensland",-9.901389,142.775
"Litsea breviumbellata","Queensland",-12.840161,143.342783
"Melaleuca saligna","Queensland",-14.256815,144.42611
"Barringtonia acutangula","Queensland",-12.741667,143.275
"Symplocos puberula","Queensland",-13.673489,143.342786
"Helicia lewisensis","Queensland",-16.458333,145.208333
"Hedraianthera porphyropetala","Queensland",-15.823472,145.34277
"Eucalyptus eugenioides","Queensland",-28.140074,152.35942
"Eucalyptus grandis","Queensland",-26.240075,152.792726
"Flagellaria indica","Queensland",-12.756827,143.25945
"Aristida personata","Queensland",-28.006741,152.25942
"Paspalum scrobiculatum","Queensland",-25.340078,152.592718
"Polyscias elegans","Queensland",-12.790161,143.342783
"Santalum lanceolatum","Queensland",-20.173449,146.759444
"Galbulimima belgraveana","Queensland",-16.456804,145.209439
"Garcinia warrenii","Queensland",-13.540156,143.476119
"Eragrostis tenellula","Queensland",-17.890154,141.209491
"Gossia dallachyana","Queensland",-17.756797,145.559441
"Corymbia torelliana","Queensland",-16.8068,145.609434
"Mallotus polyadenos","Queensland",-16.9068,145.842768
"Psychotria dallachiana","Queensland",-16.1325,145.452778
"Musa banksii","Queensland",-17.340129,146.00943
"Melicope broadbentiana","Queensland",-16.440137,145.259439
"Solanum ellipticum","Queensland",-20.090116,146.926111
"Hypserpa smilacifolia","Queensland",-16.458333,145.208333
"Alyxia ruscifolia","Queensland",-20.173449,146.759444
"Acronychia chooreechillum","Queensland",-16.458333,145.208333
"Hypsophila dielsiana","Queensland",-17.006798,145.592771
"Elaeocarpus culminicola","Queensland",-15.090139,145.176102
"Elaeagnus triflora","Queensland",-16.02347,145.342773
"Pothos longipes","Queensland",-27.323406,152.759402
"Alyxia orophila","Queensland",-15.823472,145.29277
"Geniostoma rupestre","Queensland",-18.423458,146.259438
"Pultenaea villosa","Queensland",-26.79007,153.05939
"Phylacium bracteosum","Queensland",-12.756827,143.25945
"Acronychia chooreechillum","Queensland",-17.256798,145.842771
"Neoroepera banksii","Queensland",-15.090139,145.259436
"Pleiogynium timorense","Queensland",-20.173449,146.759444
"Pandorea floribunda","Queensland",-25.591667,151.908333
"Casuarina glauca","Queensland",-27.390069,153.126061
"Acacia hammondii","Queensland",-19.39016,139.70952
"Halophila ovalis","Queensland",-27.406736,153.442728
"Tetragonia tetragonoides","Queensland",-27.390069,153.126061
"Fuirena ciliaris","Queensland",-27.590068,153.092732
"Bursaria spinosa","Queensland",-28.290071,152.709411
"Harpullia rhyticarpa","Queensland",-17.390131,145.726104
"Lastreopsis marginans","New South Wales",-28.53,153.55
"Acacia estrophiolata","South Australia",-27.02,132.62
"Eucalyptus pachyphylla","Northern Territory",-19.63,134.97
"Daviesia reclinata","Northern Territory",-12.57,133.3
"Boronia microphylla","New South Wales",-33.228555,150.220876
"Acacia pentadenia","Western Australia",-34.97,117.38
"Acacia catenulata","Queensland",-27.88,148.72
"Eragrostis leptostachya","New South Wales",-32.03,150.73
"Alloteropsis semialata","Queensland",-23.8,149.1
"Billardiera scandens","Victoria",-37.6206,145.2172
"Cyperus leptocarpus","Northern Territory",-22.95,136.13
"Liparophyllum exaltatum","New South Wales",-34.52,150.5
"Daviesia latifolia","New South Wales",-35.8247,147.3242
"Lagenophora montana","Australian Capital Territory",-35.4,148.82
"Eucalyptus punctata","New South Wales",-34.9,150.58
"Chloris truncata","Queensland",-23.68,147.53
"Acacia salicina","South Australia",-26.95,140.52
"Elaeocarpus reticulatus","New South Wales",-36.28,149.57
"Ptilotus sessilifolius","New South Wales",-32.88,143.92
"Cyperus betchei","Northern Territory",-20.48,134.78
"Podolepis arachnoidea","New South Wales",-33.93,145.9
